,logFC,AveExpr,t,P.Value,adj.P.Val,B
SPTLC2,-0.910197515,6.572066918,-8.809067289,1.14E-15,1.80E-13,25.06995122
GPRC5C,-1.2859734,5.294017947,-8.796997478,1.23E-15,1.93E-13,24.99675828
RAD51AP1,1.256619834,6.985865588,8.793010836,1.26E-15,1.96E-13,24.97259117
SOX10,2.326089377,4.195484699,8.713799625,2.06E-15,3.18E-13,24.49328759
TFDP1,0.917641541,6.758620245,8.705568853,2.17E-15,3.32E-13,24.4435802
TSPAN1,-2.970410805,5.746178593,-8.68710041,2.43E-15,3.70E-13,24.33211232
PDCD5,0.779713144,6.703384129,8.678203819,2.57E-15,3.86E-13,24.27844937
ADGRV1,-1.239478582,3.452389714,-8.67771467,2.58E-15,3.86E-13,24.27549952
GATA3,-2.034320103,8.488462919,-8.655812298,2.95E-15,4.38E-13,24.143483
KCNK5,1.790665396,5.429243737,8.653859407,2.98E-15,4.40E-13,24.13171836
LRP6,1.120216881,6.798837544,8.652922905,3.00E-15,4.40E-13,24.12607704
GPR39,-1.346727438,4.021494329,-8.643265088,3.19E-15,4.64E-13,24.06791424
CEACAM5,-1.599353487,4.912923247,-8.633174081,3.39E-15,4.90E-13,24.0071702
PAX9,-1.691723278,4.089108694,-8.626741304,3.53E-15,5.06E-13,23.96846207
KRT18,-1.566208781,11.3009299,-8.624061492,3.59E-15,5.11E-13,23.95234016
TMEM63C,-1.81149681,5.095597006,-8.618085469,3.72E-15,5.27E-13,23.91639525
ARRDC1,-1.261254084,7.570460689,-8.616316755,3.76E-15,5.29E-13,23.9057586
TMEM62,-1.052752162,4.916168957,-8.612340977,3.85E-15,5.38E-13,23.88185236
DUSP6,-1.966999874,7.796834457,-8.600300547,4.15E-15,5.76E-13,23.80948057
TSPAN13,-1.286788833,10.32572902,-8.579165191,NA,6.49E-13,23.6825401
ARFGEF3,-1.697813347,5.88118327,-8.578729519,4.74E-15,6.49E-13,23.67992474
CMTM7,NA,6.898648295,8.57582803,4.82E-15,6.56E-13,23.66250838
CERT1,-0.757146312,7.25975206,-8.566897129,5.09E-15,6.89E-13,23.60891506
RGMA,0.902954543,4.489952493,8.558192638,5.37E-15,7.22E-13,23.55670217
TBC1D30,-1.295614867,5.016304761,-8.553883889,5.52E-15,7.36E-13,NA
ATAD2,1.090596671,6.869486565,8.54882994,5.69E-15,7.54E-13,23.50056515
YIPF1,-0.905324299,7.4026385,-8.542027464,5.93E-15,7.82E-13,23.45979443
