"gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"IGLV3-10",4.04879277538043,5.86369399802092,5.54444519787353,1.05791138582246e-07,1.08045214548913e-06,6.98543880716499,"Upregulated"
"CXCR4",4.02967352324869,8.16109907148153,12.9180736295404,2.56773917923016e-27,6.00533606917706e-25,51.4437332213019,"Upregulated"
"IGK",4.0229471252649,6.09253355176078,7.68030425791608,1.0404892400927e-12,3.43774341786182e-11,18.2495906188719,"Upregulated"
"ADAMDEC1",4.00187178507438,6.31514165317804,9.32701719091258,4.46421322361872e-17,3.06675241747933e-15,28.1489867353501,"Upregulated"
"CD93",3.9982658021394,6.90951172894173,20.6592046305649,4.99924825227149e-49,1.48656217672902e-45,100.793175116399,"Upregulated"
"VSIG4",3.97721922454184,6.15208100067679,13.9004611106678,3.60999157556187e-30,1.19272975627492e-27,57.9370332578727,"Upregulated"
"MRC1",3.96915963070947,6.32635771288524,11.8345304042641,3.54644112179679e-24,5.81253322442521e-22,44.2948643920589,"Upregulated"
"RASGRP1",3.96558960884379,6.41416932593694,9.82342609781811,1.88757313933598e-18,1.56533206754097e-16,31.2697934327884,"Upregulated"
"GMFG",3.96496378489254,6.37130068813266,17.8133791723242,2.54949345830107e-41,2.94820590747426e-38,83.3034251619916,"Upregulated"
"MNDA",3.95247810455976,6.68386854354326,16.1170176023192,1.51099875807256e-36,9.82857473415012e-34,72.4527195718916,"Upregulated"
"CTHRC1",3.94470354170761,10.6369717968721,12.1208027878164,5.2714512523969e-25,1.00665374145543e-22,46.1793373254897,"Upregulated"
"GIMAP7",3.94027945212509,5.99774369158829,15.1240150215675,1.05094701630146e-33,5.08731677774763e-31,65.9856941264848,"Upregulated"
"HLA-DQA1",3.93510819415518,5.59734517201297,8.12075795803277,7.63986015972209e-14,3.08783862572068e-12,20.8161131980636,"Upregulated"
"MMP12",3.93222105200914,5.50868097451309,9.01850768768734,3.10562687288616e-16,1.89016442570542e-14,26.2366717195652,"Upregulated"
"COL15A1",3.93138953349279,8.79055855560224,13.7272897014886,1.14778162040826e-29,3.41301063268542e-27,56.7933563916276,"Upregulated"
"FPR3",3.91560400152203,5.86635703880513,13.9090027762496,3.40985430967513e-30,1.14477608799819e-27,57.9934256277514,"Upregulated"
"RGS1",3.91406106957612,5.46102715780883,16.6919827198927,3.53721273427704e-38,2.83181088707603e-35,76.1611895676978,"Upregulated"
"HLA-DPB1",3.89575975936946,7.13752904943235,17.317708386093,6.14839772766458e-40,6.39894493506691e-37,80.1621552810263,"Upregulated"
"FCGR2B",3.86745047740411,6.1046697531081,13.7285173490042,1.13840543971017e-29,3.41301063268542e-27,56.8014665756546,"Upregulated"
"ELF5",3.83138326402288,5.34212817502621,7.33987963134118,7.47078743307201e-12,2.04074068791855e-10,16.3148702417971,"Upregulated"
"RARRES2",3.79706966383809,7.70289310135138,11.8926768967687,2.40874300898758e-24,4.17816547767304e-22,44.6772744260014,"Upregulated"
"CCL18",3.79699280884369,5.79790031286473,8.68048916562083,2.53319912203068e-15,1.34855600319869e-13,24.1687820836523,"Upregulated"
"ADGRL4",3.79046018548341,6.25501623721433,19.0272261456161,1.17299840968101e-44,1.74399727839359e-41,90.8817527499755,"Upregulated"
"CTSK",3.7854206154248,9.6168235414484,14.4810236864015,7.51995630875108e-32,3.01015174166642e-29,61.7644372058438,"Upregulated"
"BCL2A1",3.78007263758152,5.790430539321,10.8866472027446,1.87649735026026e-21,2.24478691641766e-19,38.09702667617,"Upregulated"
"C16orf54",3.76907310131452,4.89419702155534,9.61277564446067,7.26879007922213e-18,5.52189290142367e-16,29.9393562695139,"Upregulated"
"COL10A1",3.76318354790617,8.33399469727199,9.43152077703402,2.30310733623604e-17,1.65879512815755e-15,28.801711754405,"Upregulated"
"SULF1",3.74632525798717,8.59021538011142,11.5904071200231,1.79540445424047e-23,2.76824768259374e-21,42.6916656893588,"Upregulated"
"IGLL3P",3.73388062338976,8.15512089409706,10.7279270550861,5.31852844083796e-21,6.04946281399137e-19,37.0678043152286,"Upregulated"
"MXRA5",3.73222190726732,9.53265284669847,12.576006886135,2.52648501502214e-26,5.47799849871727e-24,49.1830454923321,"Upregulated"
"CYTIP",3.72227178183695,6.0334416462141,12.1210852382067,5.26153587022384e-25,1.00665374145543e-22,46.1811986601946,"Upregulated"
"IGKV1D-13",3.69584659966035,8.47005768336972,7.88371206713595,3.14053405422316e-13,1.13885394318214e-11,19.4263976625153,"Upregulated"
"SLAMF8",3.68977101982787,5.75841777884355,11.6792550334382,9.95410383456818e-24,1.59380516397336e-21,43.2746856513177,"Upregulated"
"C1orf162",3.64280788812838,5.89907943139345,15.6362489675153,3.56134409615992e-35,2.05914937115469e-32,69.3306526457893,"Upregulated"
"IGHM",3.63306382272122,6.71706095773843,7.71087150326945,8.69882653039856e-13,2.93938432191958e-11,18.4254753855056,"Upregulated"
"CXCL11",3.63288128154709,6.26638061697345,6.8251140668789,1.34945228144571e-10,2.74037553544316e-09,13.4798570464418,"Upregulated"
"TCIM",3.62770798250138,6.55387201066488,10.095745085286,3.2646544994105e-19,3.07483182829094e-17,33.0018342004098,"Upregulated"
"CD69",3.6151052721922,5.34336222493187,10.6699195812215,7.77725045149497e-21,8.61082277382276e-19,36.6924161031042,"Upregulated"
"C3AR1",3.58750871610512,6.78582904342818,15.3730302344396,2.02323517910588e-34,1.02716195739241e-31,67.6140130487329,"Upregulated"
"LSP1",3.58468850638434,6.44106527021016,17.6705721992475,6.36201072470083e-41,6.96975017024462e-38,82.401052832878,"Upregulated"
"GPR65",3.57857014972648,5.75145724296714,16.9490110494007,6.6652400477497e-39,6.30622598154136e-36,77.8092660785047,"Upregulated"
"GZMB",3.57788091071251,5.27994233493435,7.97437029249385,1.83297790413216e-13,6.92439838012903e-12,19.9556311687656,"Upregulated"
"PLEK",3.56647835122691,6.34808149198927,13.7659962146318,8.86237038827973e-30,2.7532871586872e-27,57.0490469154085,"Upregulated"
"IGLV3-25",3.53585784848504,7.02685106671565,6.10478287055294,6.34623860567511e-09,8.7077756478001e-08,9.71997813180885,"Upregulated"
